original,standard
El Hobaibi,ELHOBAIBI
el Jebli,ELJEBLI
El Jilali,ELJILALI
El Kabir,ELKABIR
El Kader,ELKADER
El Kahdir,ELKAHDIR
El-Khadar,ELKHADAR
el Khalfi,ELKHALFI
El Khatabi,ELKHATABI
El-Khiari,ELKHIARI
El-Mabhoub,ELMABHOUB
El Mahdi,ELMAHDI
El Mahraoui,ELMAHRAOUI
El Makrini,ELMAKRINI
El Mansouri,ELMANSOURI
el-Masri,ELMASRI
el Mecky,ELMECKY
El Mesri,ELMESRI
El-Miloudi,ELMILOUDI
El-Morabit,ELMORABIT
El Mouhandiz,ELMOUHANDIZ
El-Moujtahid,ELMOUJTAHID
El Moukif,ELMOUKIF
El Moussati,ELMOUSSATI
El Moutaki,ELMOUTAKI
El-Naaman,ELNAAMAN
El'Namen,ELNAMEN
El-Ouafi,ELOUAFI
El-Refai,ELREFAI
El Roman,ELROMAN
El-Saadawi,ELSAADAWI
El Saher,ELSAHER
El-Sayed,ELSAYED
el-Senussi,ELSENUSSI
El Shafy,ELSHAFY
El Shanawany,ELSHANAWANY
El-Sharif,ELSHARIF
el-Sheiksh,ELSHEIKSH
El-Thaoui,ELTHAOUI
El Yaakoubi,ELYAAKOUBI
El Younoussi,ELYOUNOUSSI
Et Moutaki,ETMOUTAKI
Eto'o,ETOO
FFawcett,FFAWCETT
ffolliott,FFOLLIOTT
fitzAlan,FITZALAN
Fitz-Gerald,FITZGERALD
FitzHugh,FITZHUGH
Fitz Roy,FITZROY
Florisz.,FLORISZ
Flynn Boyle,FLYNNBOYLE
Frenkel Frank,FRENKELFRANK
Frère-Orban,FREREORBAN
Fu-Manchu,FUMANCHU
Gebre Selassi,GEBRESELASSI
Ghosh Dastidar,GHOSHDASTIDAR
Gill'ard,GILLARD
Glady's,GLADYS
Gomaa El Hajoj,GOMAAELHAJOJ
Groote Wassink,GROOTEWASSINK
Groot Jebbink,GROOTJEBBINK
Groot Wassink,GROOTWASSINK
Gui Gui,GUIGUI
Guy Uskilith,GUYUSKILITH
Hadj Mansour,HADJMANSOUR
Haile Mariam,HAILEMARIAM
Harmensz.,HARMENSZ
Hira Sing,HIRASING
Hirsi Ali,HIRSIALI
